Sort Code,Master sort,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Score,Frequency,Converted Ct,Transformed Ct,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
8,,"10kL Flow, Tank 21",2,21.10.2a,,012919LCB1F,D06,19.54,,,,1,,013019LCB1F,D06,34.2,1,,34.2,15.801,,,26a,,,,,,eONKI4,080818JMR3G,B11,N/A,0,,,,,,,,,8
8,,"10kL Flow, Tank 21",2,21.10.2a,,,,,,,,,,013019LCB1F,E06,34.88,1,,34.88,15.121,,,26a,,,,,,eONKI4,080818JMR3G,C11,N/A,0,,,,,,,,,8
8,,"10kL Flow, Tank 21",2,21.10.2a,,,,,,,,,,013019LCB1F,F06,34.7,1,,34.7,15.301,,,26a,,,,,,eONKI4,080818JMR3G,D11,N/A,0,,,,,,,,,8
8,,"10kL Flow, Tank 21",2,21.10.2a,,,,,,,,,,013019LCB1F,G06,35.01,1,,35.01,14.991,,,26a,,,,,,eONKI4,080818JMR3G,E11,N/A,0,,,,,,,,,8
8,,"10kL Flow, Tank 21",2,21.10.2a,,,,,,,,,,013019LCB1F,H06,34.69,1,,34.69,15.311,,,26a,,,,,,eONKI4,080818JMR3G,F11,N/A,0,,,,,,,,,8
9,9,"10kL Flow, Tank 21",3,21.10.3a,11a,012919LCB1G,E01,16.14,,,,1, 4/4,020719LCB1G,A01,31.66,1,8/8,31.66,18.341,18.389,0.226,11a,,,,,,eONKI4,080818JMR3G,G11,N/A,0,,,,,,,,,8
9,,"10kL Flow, Tank 21",3,21.10.3a,,012919LCB1G,F01,16.31,,,,1,,020719LCB1G,B01,31.42,1,,31.42,18.581,,,11a,,,,,,eONKI4,080818JMR3G,H11,N/A,0,,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,012919LCB1G,G01,16.51,,,,1,,020719LCB1G,C01,31.37,1,,31.37,18.631,,,11a,,,,,,eONKI4,080818JMR3H,A11,N/A,0,0/8,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,012919LCB1G,H01,16.9,,,,1,,020719LCB1G,D01,31.61,1,,31.61,18.391,,,11a,,,,,,eONKI4,080818JMR3H,B11,N/A,0,,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,,,,,,,,,020719LCB1G,E01,31.48,1,,31.48,18.521,,,11a,,,,,,eONKI4,080818JMR3H,C11,N/A,0,,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,,,,,,,,,020719LCB1G,F01,31.59,1,,31.59,18.411,,,11a,,,,,,eONKI4,080818JMR3H,D11,N/A,0,,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,,,,,,,,,020719LCB1G,G01,31.67,1,,31.67,18.331,,,11a,,,,,,eONKI4,080818JMR3H,E11,N/A,0,,,,,,,,,9
9,,"10kL Flow, Tank 21",3,21.10.3a,,,,,,,,,,020719LCB1G,H01,32.1,1,,32.1,17.901,,,11a,,,,,,eONKI4,080818JMR3H,F11,N/A,0,,,,,,,,,9
10,10,"10kL Flow, Tank 24",1,24.10.1a,1a,012919LCB1G,A01,17.77,,,,1, 4/4,012919LCB3F,A01,35.04,1,8/8,35.04,14.961,13.619,1.186,1a,,,,,,eONKI4,080818JMR3H,G11,N/A,0,,,,,,,,,9
10,,"10kL Flow, Tank 24",1,24.10.1a,,012919LCB1G,B01,18.31,,,,1,,012919LCB3F,B01,36.18,1,,36.18,13.821,,,1a,,,,,,eONKI4,080818JMR3H,H11,N/A,0,,,,,,,,,10
10,,"10kL Flow, Tank 24",1,24.10.1a,,012919LCB1G,C01,17.99,,,,1,,012919LCB3F,C01,34.39,1,,34.39,15.611,,,1a,,,,,,eONKI4,080818JMR3F,A11,N/A,0,0/8,,,,,,,,10
