Sort Code,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Adjusted Ct  (N/A=50),Transformed Ct (50.001-Ct),Score,Frequency,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
10,"1 Fish, Tank 20",5,01.20.5,,072418JMR1G,F04,16.5,1,,072518JMR2F,B04,33.05,33.05,16.95,1,,,,34,,,,,,eONKI4,072518JMR1G,A11,N/A,0,0/8,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,072418JMR1G,G04,16.58,1,,072518JMR2F,C04,33.37,33.37,16.63,1,,,,34,,,,,,eONKI4,072518JMR1G,B11,N/A,0,,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,072418JMR1G,H04,17.07,1,,072518JMR2F,D04,34.22,34.22,15.78,1,,,,34,,,,,,eONKI4,072518JMR1G,C11,N/A,0,,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,,,,,,072518JMR2F,E04,33.6,33.6,16.40,1,,,,34,,,,,,eONKI4,072518JMR1G,D11,N/A,0,,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,,,,,,072518JMR2F,F04,34.05,34.05,15.95,1,,,,34,,,,,,eONKI4,072518JMR1G,E11,N/A,0,,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,,,,,,072518JMR2F,G04,33.59,33.59,16.41,1,,,,34,,,,,,eONKI4,072518JMR1G,F11,N/A,0,,,,,,,,,10
10,"1 Fish, Tank 20",5,01.20.5,,,,,,,072518JMR2F,H04,33.69,33.69,16.31,1,,,,34,,,,,,eONKI4,072518JMR1G,G11,N/A,0,,,,,,,,,10
11,"1 Fish, Tank 21",1,01.21.1,146,072418JMR4G,A06,17.47,1, 4/4,072618JMR1H,A06,40.95,40.95,9.05,1,6/8,8.17,0.99,146,,,,,,eONKI4,072518JMR1G,H11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,072418JMR4G,B06,17.33,1,,072618JMR1H,B06,N/A,50,0.00,0,,,,146,,,,,,eONKI4,072518JMR1H,A11,N/A,0,0/8,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,072418JMR4G,C06,17.24,1,,072618JMR1H,C06,37.97,37.97,12.03,1,,,,146,,,,,,eONKI4,072518JMR1H,B11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,072418JMR4G,D06,17.32,1,,072618JMR1H,D06,38.48,38.48,11.52,1,,,,146,,,,,,eONKI4,072518JMR1H,C11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,,,,,,072618JMR1H,E06,39.8,39.8,10.20,1,,,,146,,,,,,eONKI4,072518JMR1H,D11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,,,,,,072618JMR1H,F06,38.94,38.94,11.06,1,,,,146,,,,,,eONKI4,072518JMR1H,E11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,,,,,,072618JMR1H,G06,38.53,38.53,11.47,1,,,,146,,,,,,eONKI4,072518JMR1H,F11,N/A,0,,,,,,,,,11
11,"1 Fish, Tank 21",1,01.21.1,,,,,,,072618JMR1H,H06,N/A,50,0.00,0,,,,146,,,,,,eONKI4,072518JMR1H,G11,N/A,0,,,,,,,,,11
12,"1 Fish, Tank 21",2,01.21.2,100,072418JMR3F,E10,15.55,1, 4/4,072518JMR4F,A10,32.26,32.26,17.74,1,8/8,17.17,0.54,100,,,,,,eONKI4,072518JMR1H,H11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,072418JMR3F,F10,15.86,1,,072518JMR4F,B10,32.69,32.69,17.31,1,,,,100,,,,,,eONKI4,072518JMR2F,A11,N/A,0,0/8,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,072418JMR3F,G10,15.71,1,,072518JMR4F,C10,33.34,33.34,16.66,1,,,,100,,,,,,eONKI4,072518JMR2F,B11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,072418JMR3F,H10,16.06,1,,072518JMR4F,D10,32.34,32.34,17.66,1,,,,100,,,,,,eONKI4,072518JMR2F,C11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,,,,,,072518JMR4F,E10,33.53,33.53,16.47,1,,,,100,,,,,,eONKI4,072518JMR2F,D11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,,,,,,072518JMR4F,F10,32.61,32.61,17.39,1,,,,100,,,,,,eONKI4,072518JMR2F,E11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,,,,,,072518JMR4F,G10,32.23,32.23,17.77,1,,,,100,,,,,,eONKI4,072518JMR2F,F11,N/A,0,,,,,,,,,12
12,"1 Fish, Tank 21",2,01.21.2,,,,,,,072518JMR4F,H10,33.62,33.62,16.38,1,,,,100,,,,,,eONKI4,072518JMR2F,G11,N/A,0,,,,,,,,,12
13,"1 Fish, Tank 21",3,01.21.3,3,072418JMR1F,A03,15.52,1, 4/4,072518JMR1F,A03,37.16,37.16,12.84,1,8/8,13.38,0.51,3,,,,,,eONKI4,072518JMR2F,H11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,072418JMR1F,B03,15.59,1,,072518JMR1F,B03,36.32,36.32,13.68,1,,,,3,,,,,,eONKI4,072518JMR2G,A11,N/A,0,0/8,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,072418JMR1F,C03,15.51,1,,072518JMR1F,C03,36.22,36.22,13.78,1,,,,3,,,,,,eONKI4,072518JMR2G,B11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,072418JMR1F,D03,15.52,1,,072518JMR1F,D03,37.26,37.26,12.74,1,,,,3,,,,,,eONKI4,072518JMR2G,C11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,,,,,,072518JMR1F,E03,36.01,36.01,13.99,1,,,,3,,,,,,eONKI4,072518JMR2G,D11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,,,,,,072518JMR1F,F03,35.96,35.96,14.04,1,,,,3,,,,,,eONKI4,072518JMR2G,E11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,,,,,,072518JMR1F,G03,37.14,37.14,12.86,1,,,,3,,,,,,eONKI4,072518JMR2G,F11,N/A,0,,,,,,,,,13
13,"1 Fish, Tank 21",3,01.21.3,,,,,,,072518JMR1F,H03,36.91,36.91,13.09,1,,,,3,,,,,,eONKI4,072518JMR2G,G11,N/A,0,,,,,,,,,13
14,"1 Fish, Tank 21",4,01.21.4,119,072418JMR3G,E09,17.68,1, 4/4,072518JMR4H,A09,34.5,34.5,15.50,1,8/8,15.48,0.91,119,,,,,,eONKI4,072518JMR2G,H11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,072418JMR3G,F09,16.95,1,,072518JMR4H,B09,35.44,35.44,14.56,1,,,,119,,,,,,eONKI4,072518JMR2H,A11,N/A,0,0/8,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,072418JMR3G,G09,18.4,1,,072518JMR4H,C09,36.49,36.49,13.51,1,,,,119,,,,,,eONKI4,072518JMR2H,B11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,072418JMR3G,H09,17.47,1,,072518JMR4H,D09,34.02,34.02,15.98,1,,,,119,,,,,,eONKI4,072518JMR2H,C11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,,,,,,072518JMR4H,E09,34.03,34.03,15.97,1,,,,119,,,,,,eONKI4,072518JMR2H,D11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,,,,,,072518JMR4H,F09,33.95,33.95,16.05,1,,,,119,,,,,,eONKI4,072518JMR2H,E11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,,,,,,072518JMR4H,G09,34.16,34.16,15.84,1,,,,119,,,,,,eONKI4,072518JMR2H,F11,N/A,0,,,,,,,,,14
14,"1 Fish, Tank 21",4,01.21.4,,,,,,,072518JMR4H,H09,33.58,33.58,16.42,1,,,,119,,,,,,eONKI4,072518JMR2H,G11,N/A,0,,,,,,,,,14
15,"1 Fish, Tank 21",5,01.21.5,130,072418JMR4F,A10,16.36,1, 4/4,072618JMR1F,A10,37.69,37.69,12.31,1,6/8,8.77,1.13,130,,,,,,eONKI4,072518JMR2H,H11,N/A,0,,,,,,,,,15
15,"1 Fish, Tank 21",5,01.21.5,,072418JMR4F,B10,16.38,1,,072618JMR1F,B10,N/A,50,0.00,0,,,,130,,,,,,eONKI4,072518JMR3F,A11,N/A,0,0/8,,,,,,,,15
